,Dialogue_Id,Speaker,Emotion_name,Utterance,Annotate(0/1)
0,0,Chandler,neutral,also I was the point person on my company's transition from the KL-5 to GR-6 system.,0.0
1,0,The Interviewer,neutral,You must've had your hands full.,0.0
2,0,Chandler,neutral,That I did. That I did.,0.0
3,0,The Interviewer,neutral,So let's talk a little bit about your duties.,1.0
4,0,Chandler,surprise,My duties?  All right.,0.0
5,1,Chandler,neutral,also I was the point person on my company's transition from the KL-5 to GR-6 system.,0.0
6,1,The Interviewer,neutral,You must've had your hands full.,0.0
7,1,Chandler,neutral,That I did. That I did.,0.0
8,1,The Interviewer,neutral,So let's talk a little bit about your duties.,0.0
9,1,Chandler,surprise,My duties?  All right.,0.0
10,1,The Interviewer,neutral,"Now you'll be heading a whole division, so you'll have a lot of duties.",1.0
11,1,Chandler,neutral,I see.,0.0
12,2,Chandler,neutral,also I was the point person on my company's transition from the KL-5 to GR-6 system.,0.0
13,2,The Interviewer,neutral,You must've had your hands full.,0.0
14,2,Chandler,neutral,That I did. That I did.,0.0
15,2,The Interviewer,neutral,So let's talk a little bit about your duties.,0.0
16,2,Chandler,surprise,My duties?  All right.,0.0
17,2,The Interviewer,neutral,"Now you'll be heading a whole division, so you'll have a lot of duties.",0.0
18,2,Chandler,neutral,I see.,0.0
19,2,The Interviewer,neutral,But there'll be perhaps 30 people under you so you can dump a certain amount on them.,1.0
20,2,Chandler,neutral,Good to know.,0.0
21,2,The Interviewer,neutral,We can go into detail,1.0
22,2,Chandler,fear,No don't I beg of you!,0.0
23,3,Chandler,neutral,also I was the point person on my company's transition from the KL-5 to GR-6 system.,0.0
24,3,The Interviewer,neutral,You must've had your hands full.,0.0
25,3,Chandler,neutral,That I did. That I did.,0.0
26,3,The Interviewer,neutral,So let's talk a little bit about your duties.,0.0
27,3,Chandler,surprise,My duties?  All right.,0.0
28,3,The Interviewer,neutral,"Now you'll be heading a whole division, so you'll have a lot of duties.",0.0
29,3,Chandler,neutral,I see.,0.0
30,3,The Interviewer,neutral,But there'll be perhaps 30 people under you so you can dump a certain amount on them.,0.0
31,3,Chandler,neutral,Good to know.,0.0
32,3,The Interviewer,neutral,We can go into detail,0.0
33,3,Chandler,fear,No don't I beg of you!,0.0
34,3,The Interviewer,neutral,"All right then, we'll have a definite answer for you on Monday, but I think I can say with some confidence, you'll fit in well here.",1.0
35,3,Chandler,surprise,Really?!,0.0
36,4,Joey,surprise,But then who? The waitress I went out with last month?,0.0
37,4,Rachel,sadness,You know? Forget it!,0.0
38,4,Joey,surprise,"No-no-no-no, no! Who, who were you talking about?",1.0
39,4,Rachel,fear,"No, I-I-I-I don't, I actually don't know",0.0
40,5,Joey,surprise,But then who? The waitress I went out with last month?,0.0
41,5,Rachel,sadness,You know? Forget it!,0.0
42,5,Joey,surprise,"No-no-no-no, no! Who, who were you talking about?",0.0
43,5,Rachel,fear,"No, I-I-I-I don't, I actually don't know",1.0
44,5,Joey,neutral,Ok!,0.0
45,6,Joey,surprise,But then who? The waitress I went out with last month?,0.0
46,6,Rachel,sadness,You know? Forget it!,0.0
47,6,Joey,surprise,"No-no-no-no, no! Who, who were you talking about?",0.0
48,6,Rachel,fear,"No, I-I-I-I don't, I actually don't know",0.0
49,6,Joey,neutral,Ok!,1.0
50,6,Joey,neutral,"All right, well...",1.0
51,6,Rachel,neutral,"Yeah, sure!",0.0
52,7,Chandler,neutral,"Hey, Mon.",0.0
53,7,Monica,neutral,Hey-hey-hey. You wanna hear something that sucks.,1.0
54,7,Chandler,joy,Do I ever.,0.0
55,8,Chandler,neutral,"Hey, Mon.",0.0
56,8,Monica,neutral,Hey-hey-hey. You wanna hear something that sucks.,0.0
57,8,Chandler,joy,Do I ever.,0.0
58,8,Monica,sadness,Chris says they're closing down the bar.,1.0
59,9,Chandler,neutral,"Hey, Mon.",0.0
60,9,Monica,neutral,Hey-hey-hey. You wanna hear something that sucks.,0.0
61,9,Chandler,joy,Do I ever.,0.0
62,9,Monica,sadness,Chris says they're closing down the bar.,1.0
63,9,Chandler,surprise,No way!,0.0
64,10,Chandler,neutral,"Hey, Mon.",0.0
65,10,Monica,neutral,Hey-hey-hey. You wanna hear something that sucks.,0.0
66,10,Chandler,joy,Do I ever.,0.0
67,10,Monica,sadness,Chris says they're closing down the bar.,0.0
68,10,Chandler,surprise,No way!,1.0
69,10,Monica,neutral,"Yeah, apparently they're turning it into some kinda coffee place.",0.0
70,11,Chandler,neutral,"Hey, Mon.",0.0
71,11,Monica,neutral,Hey-hey-hey. You wanna hear something that sucks.,0.0
72,11,Chandler,joy,Do I ever.,0.0
73,11,Monica,sadness,Chris says they're closing down the bar.,0.0
74,11,Chandler,surprise,No way!,0.0
75,11,Monica,neutral,"Yeah, apparently they're turning it into some kinda coffee place.",1.0
76,11,Chandler,disgust,Just coffee! Where are we gonna hang out now?,0.0
